"dateTimeID","aussen14_1_1","aussen14_1_2","tempNum"
"T170117170000",-3.5,-4,22
"T170117180000",-3.5,-4,22
"T170117190000",-4,-4,22
"T170117200000",-3.5,-4,22
"T170117210000",-3.5,-4,22
"T170117220000",-4,-4,22
"T170117230000",-4,-4,22
"T180117000000",-4,-4,22
"T180117010000",-4,-4.5,22
"T180117020000",-4,-4.5,22
"T180117030000",-4.5,-4.5,22
"T180117040000",-4.5,-4.5,22
"T180117050000",-4.5,-4.5,22
"T180117060000",-4.5,-5,22
"T180117070000",-4.5,-5,22
"T180117080000",-4.5,-5,24
"T180117090000",-4.5,-4.5,24
"T180117100000",-4.5,-4.5,24
"T180117110000",-4,-4.5,24
"T180117120000",-3.5,-3.5,24
"T180117130000",-3,-3.5,24
"T180117140000",-3,-3,24
"T180117150000",-3,-3,24
"T180117160000",-3,-3,24
"T180117170000",-3,-3.5,22
"T180117180000",-3,-3.5,22
"T180117190000",-3.5,-3.5,22
"T180117200000",-3.5,-3.5,22
"T180117210000",-3.5,-3.5,22
"T180117220000",-3.5,-4,22
"T180117230000",-3.5,-4,22
"T190117000000",-3.5,-4,22
"T190117010000",-4,-4,22
"T190117020000",-4,-4,22
"T190117030000",-4,-4,22
"T190117040000",-4,-4,22
"T190117050000",-4,-4.5,22
"T190117060000",-4,-4.5,22
"T190117070000",-4.5,-4.5,22
"T190117080000",-4.5,-4.5,24
"T190117090000",-4.5,-4.5,24
"T190117100000",-4,-4.5,24
"T190117110000",-4,-4,24
"T190117120000",-4,-4,24
"T190117130000",-3.5,-4,24
"T190117140000",-3.5,-3.5,24
"T190117150000",-4,-4,24
"T190117160000",-4,-4,24
"T190117170000",-4,-4.5,22
"T190117180000",-4,-4.5,22
"T190117190000",-4.5,-4.5,22
"T190117200000",-4.5,-4.5,22
"T190117210000",-4.5,-4.5,22
"T190117220000",-4.5,-4.5,22
"T190117230000",-4.5,-5,22
"T200117000000",-5,-5,22
"T200117010000",-5,-5,22
"T200117020000",-5,-5,22
"T200117030000",-5,-5,22
"T200117040000",-5,-5,22
"T200117050000",-5,-5.5,22
"T200117060000",-5,-5.5,22
"T200117070000",-5,-5.5,22
"T200117080000",-5,-5.5,24
"T200117090000",-5,-5,24
"T200117100000",-4.5,-5,24
"T200117110000",-4,-4,24
"T200117120000",-3.5,-3.5,24
"T200117130000",-3.5,-3.5,24
"T200117140000",-3.5,-3.5,24
"T200117150000",-3.5,-4,24
"T200117160000",-4,-4,24
"T200117170000",-4.5,-4.5,22
"T200117180000",-5,-5,22
"T200117190000",-5,-5.5,22
"T200117200000",-5.5,-5.5,22
"T200117210000",-5.5,-5.5,22
"T200117220000",-5.5,-5.5,22
"T200117230000",-5.5,-6,22
"T210117000000",-5.5,-6,22
"T210117010000",-5.5,-6,22
"T210117020000",-5.5,-5.5,22
"T210117030000",-5.5,-5.5,22
"T210117040000",-5.5,-6,22
"T210117050000",-5.5,-5.5,22
"T210117060000",-5.5,-5.5,22
"T210117070000",-5.5,-5.5,22
"T210117080000",-5.5,-5.5,24
"T210117090000",-5.5,-5.5,24
"T210117100000",-4.5,-5,24
"T210117110000",-4,-4.5,24
"T210117120000",-4,-4,24
"T210117130000",-3.5,-4,24
"T210117140000",-3,-3,24
"T210117150000",-3,-3,24
"T210117160000",-3.5,-3.5,24
"T210117170000",-4,-4,22
"T210117180000",-4,-4,22
"T210117190000",-4.5,-5,22
"T210117200000",-5,-5.5,22
"T210117210000",-5.5,-5.5,22
"T210117220000",-5.5,-5.5,22
"T210117230000",-5,-5.5,22
"T220117000000",-5.5,-6,22
"T220117010000",-6,-6,22
"T220117020000",-6,-6,22
"T220117030000",-6,-6,22
"T220117040000",-6,-6,22
"T220117050000",-6,-6.5,22
"T220117060000",-6,-6.5,22
"T220117070000",-6,-6.5,22
"T220117080000",-6,-6.5,24
"T220117090000",-6,-6,24
"T220117100000",-5.5,-5.5,24
"T220117110000",-5,-5.5,24
"T220117120000",-4.5,-5,24
"T220117130000",-4,-4,24
"T220117140000",-3.5,-3.5,24
"T220117150000",-3,-3,24
"T220117160000",-4,-4.5,24
"T220117170000",-4.5,-4.5,22
"T220117180000",-4.5,-4.5,22
"T220117190000",-4.5,-5,22
"T220117200000",-5,-5,22
"T220117210000",-5,-5,22
"T220117220000",-5,-5,22
"T220117230000",-5,-5.5,22
"T230117000000",-5,-5.5,22
"T230117010000",-5.5,-5.5,22
"T230117020000",-5.5,-5.5,22
"T230117030000",-5.5,-5.5,22
"T230117040000",-5.5,-6,22
"T230117050000",-5.5,-6,22
"T230117060000",-5.5,-6,22
"T230117070000",-5.5,-5.5,22
"T230117080000",-5.5,-6,24
"T230117090000",-6,-6,24
"T230117100000",-5.5,-5.5,24
"T230117110000",-4.5,-4.5,24
"T230117120000",-4,-4,24
"T230117130000",-4,-4,24
"T230117140000",-3.5,-4,24
"T230117150000",-3.5,-3.5,24
"T230117160000",-3.5,-4,24
"T230117170000",-4,-4.5,22
"T230117180000",-5,-5,22
"T230117190000",-5,-5,22
"T230117200000",-5.5,-5.5,22
"T230117210000",-5.5,-6,22
"T230117220000",-6.5,-6.5,22
"T230117230000",-6.5,-6.5,22
"T240117000000",-6.5,-6.5,22
"T240117010000",-6.5,-6.5,22
"T240117020000",-6,-6.5,22
"T240117030000",-6,-6,22
"T240117040000",-5.5,-6,22
"T240117050000",-5.5,-6,22
"T240117060000",-5.5,-6,22
"T240117070000",-5.5,-5.5,22
"T240117080000",-5.5,-5.5,24
"T240117090000",-5,-5.5,24
"T240117100000",-4.5,-4.5,24
"T240117110000",-4.5,-5,24
"T240117120000",-4.5,-4.5,24
"T240117130000",-4,-4.5,24
"T240117140000",-4,-4.5,24
"T240117150000",-4,-4.5,24
"T240117160000",-4.5,-4.5,24
"T240117170000",-4.5,-4.5,22
"T240117180000",-4.5,-5,22
"T240117190000",-5,-5,22
"T240117200000",-5,-5,22
"T240117210000",-5,-5.5,22
"T240117220000",-5.5,-5.5,22
"T240117230000",-5.5,-6,22
"T250117000000",-6,-6.5,22
"T250117010000",-6,-6.5,22
"T250117020000",-6.5,-6.5,22
"T250117030000",-6.5,-6.5,22
"T250117040000",-7,-7,22
"T250117050000",-6.5,-7,22
"T250117060000",-6.5,-7,22
"T250117070000",-6.5,-6.5,22
"T250117080000",-6.5,-6.5,24
"T250117090000",-6.5,-6.5,24
"T250117100000",-6.5,-6.5,24
"T250117110000",-6.5,-6.5,24
"T250117120000",-6,-6,24
"T250117130000",-6,-6,24
"T250117140000",-6,-6,24
"T250117150000",-5.5,-6,24
"T250117160000",-6,-6,24
"T250117170000",-6,-6.5,22
"T250117180000",-6.5,-6.5,22
"T250117190000",-6.5,-6.5,22
"T250117200000",-6,-6.5,22
"T250117210000",-6,-6,22
"T250117220000",-6,-6,22
"T250117230000",-6,-6,22
"T260117000000",-6,-6,22
"T260117010000",-6,-6,22
"T260117020000",-6,-6,22
"T260117030000",-6,-6,22
"T260117040000",-6,-6,22
"T260117050000",-6,-6.5,22
"T260117060000",-6,-6.5,22
"T260117070000",-6.5,-6.5,22
"T260117080000",-6.5,-6.5,24
"T260117090000",-6,-6,24
"T260117100000",-5.5,-5.5,24
"T260117110000",-5,-5,24
"T260117120000",-4,-4,24
"T260117130000",-4.5,-4.5,24
"T260117140000",-4,-4,24
"T260117150000",-4,-4.5,24
"T260117160000",-4.5,-4.5,24
"T260117170000",-4.5,-5,22
"T260117180000",-5,-5,22
"T260117190000",-5,-5.5,22
"T260117200000",-5.5,-5.5,22
"T260117210000",-5.5,-6,22
"T260117220000",-5.5,-5.5,22
"T260117230000",-5.5,-6,22
"T270117000000",-6.5,-7,22
"T270117010000",-6,-6,22
"T270117020000",-5.5,-5.5,22
"T270117030000",-5,-5.5,22
"T270117040000",-5,-5.5,22
"T270117050000",-5,-5.5,22
"T270117060000",-5,-5.5,22
"T270117070000",-5.5,-5.5,22
"T270117080000",-5,-5.5,24
"T270117090000",-4,-4.5,24
"T270117100000",-2.5,-3,24
"T270117110000",-1,-1.5,24
"T270117120000",0,-0.5,24
"T270117130000",0.5,0.5,24
"T270117140000",2.5,2,24
"T270117150000",3,2.5,24
"T270117160000",2.5,2.5,24
"T270117170000",0.5,0.5,22
"T270117180000",-1,-1.5,22
"T270117190000",-1.5,-2,22
"T270117200000",-2.5,-2.5,22
"T270117210000",-2.5,-2.5,22
"T270117220000",-2.5,-2.5,22
"T270117230000",-2,-2.5,22
"T280117000000",-3,-3,22
"T280117010000",-3,-3,22
"T280117020000",-3,-3,22
"T280117030000",-3.5,-3.5,22
"T280117040000",-3.5,-4,22
"T280117050000",-4,-4,22
"T280117060000",-3.5,-4,22
"T280117070000",-3.5,-4,22
"T280117080000",-3.5,-4,24
"T280117090000",-2.5,-2.5,24
"T280117100000",0.5,0,24
"T280117110000",2.5,1.5,24
"T280117120000",3,2.5,24
"T280117130000",4.5,4.5,24
"T280117140000",6.5,6,24
"T280117150000",7.5,7,24
"T280117160000",5,5,24
"T280117170000",3.5,3.5,22
"T280117180000",2,1.5,22
"T280117190000",0,0,22
"T280117200000",-1,-1,22
"T280117210000",-1.5,-2,22
"T280117220000",-2,-2.5,22
"T280117230000",-2.5,-2.5,22
"T290117000000",-3,-3,22
"T290117010000",-3,-3.5,22
"T290117020000",-3,-3.5,22
"T290117030000",-3.5,-3.5,22
"T290117040000",-4,-4,22
"T290117050000",-4,-4,22
"T290117060000",-4,-4,22
"T290117070000",-4,-4.5,22
"T290117080000",-4,-4,24
"T290117090000",-3,-3,24
"T290117100000",1,0.5,24
"T290117110000",4.5,3.5,24
"T290117120000",5.5,5,24
"T290117130000",6.5,6,24
"T290117140000",8,7.5,24
"T290117150000",9,8.5,24
"T290117160000",8.5,8.5,24
"T290117170000",4,3.5,22
"T290117180000",1.5,1.5,22
"T290117190000",0.5,0.5,22
"T290117200000",0,-0.5,22
"T290117210000",-0.5,-1,22
"T290117220000",-1.5,-1.5,22
"T290117230000",-1.5,-2,22
"T300117000000",-2,-2,22
"T300117010000",-2.5,-2.5,22
"T300117020000",-3,-3,22
"T300117030000",-2.5,-3,22
"T300117040000",-2.5,-3,22
"T300117050000",-2,-2,22
"T300117060000",-1.5,-2,22
"T300117070000",-1,-1.5,22
"T300117080000",0.5,0.5,24
"T300117090000",1,1,24
"T300117100000",2.5,2.5,24
"T300117110000",2.5,2.5,24
"T300117120000",3.5,3,24
"T300117130000",3,3,24
"T300117140000",4,3.5,24
"T300117150000",4,4,24
"T300117160000",6,6,24
"T300117170000",4.5,4.5,22
"T300117180000",4.5,4.5,22
"T300117190000",4.5,4,22
"T300117200000",4.5,4,22
"T300117210000",3,3,22
"T300117220000",5,5,22
"T300117230000",5.5,5.5,22
"T310117000000",5.5,5.5,22
"T310117010000",5.5,5.5,22
"T310117020000",4.5,4,22
"T310117030000",5,4.5,22
"T310117040000",5.5,5,22
"T310117050000",5.5,5,22
"T310117060000",6,5.5,22
"T310117070000",6,6,22
"T310117080000",6.5,6,24
"T310117090000",7,6.5,24
"T310117100000",7,6.5,24
"T310117110000",7,7,24
"T310117120000",8,7.5,24
"T310117130000",7.5,7,24
"T310117140000",7,7,24
"T310117150000",7,7,24
"T310117160000",7,6.5,24
"T310117170000",6.5,6.5,22
"T310117180000",6.5,6,22
"T310117190000",5.5,5.5,22
"T310117200000",5,5,22
"T310117210000",5,5,22
"T310117220000",5,5,22
"T310117230000",5,5,22
"T010217000000",5.5,5,22
"T010217010000",5,5,22
"T010217020000",5,5,22
"T010217030000",5,5,22
"T010217040000",5,5,22
"T010217050000",5,4.5,22
"T010217060000",5,4.5,22
"T010217070000",5,4.5,22
"T010217080000",5,4.5,24
"T010217090000",5,4.5,24
"T010217100000",5.5,5.5,24
"T010217110000",6,5.5,24
"T010217120000",6.5,6.5,24
"T010217130000",8,7.5,24
"T010217140000",8.5,8.5,24
"T010217150000",8.5,8.5,24
"T010217160000",8.5,8.5,24
"T010217170000",6.5,6.5,22
"T010217180000",5.5,5,22
"T010217190000",4.5,4.5,22
"T010217200000",5.5,5,22
"T010217210000",5.5,5,22
"T010217220000",5.5,5,22
"T010217230000",5,5,22
"T020217000000",5,5,22
"T020217010000",5,4.5,22
"T020217020000",4.5,4.5,22
"T020217030000",4.5,4.5,22
"T020217040000",4.5,4,22
"T020217050000",4,4,22
"T020217060000",4,4,22
"T020217070000",3.5,3,22
"T020217080000",3,3,24
"T020217090000",4,3.5,24
"T020217100000",3.5,3.5,24
"T020217110000",3.5,3.5,24
"T020217120000",4,4,24
"T020217130000",5,4.5,24
"T020217140000",6.5,6,24
"T020217150000",7,7,24
"T020217160000",7,6.5,24
"T020217170000",6.5,6,22
"T020217180000",4.5,4.5,22
"T020217190000",4.5,4.5,22
"T020217200000",3,2.5,22
"T020217210000",3,3,22
"T020217220000",3,2.5,22
"T020217230000",3,3,22
"T030217000000",3.5,3.5,22
"T030217010000",3.5,3.5,22
"T030217020000",3.5,3.5,22
"T030217030000",3.5,3,22
"T030217040000",3.5,3,22
"T030217050000",3,3,22
"T030217060000",3,2.5,22
"T030217070000",3,2.5,22
"T030217080000",5.5,5,24
"T030217090000",5,4.5,24
"T030217100000",6.5,6,24
"T030217110000",7,6.5,24
"T030217120000",7,7,24
"T030217130000",8,8,24
"T030217140000",9.5,9,24
"T030217150000",9.5,9,24
"T030217160000",8.5,8.5,24
"T030217170000",6.5,6,22
"T030217180000",5.5,5,22
"T030217190000",5,4.5,22
"T030217200000",8,7.5,22
"T030217210000",7.5,7,22
"T030217220000",7,6.5,22
"T030217230000",7,7,22
"T040217000000",5.5,5,22
"T040217010000",3,3,22
"T040217020000",2,1.5,22
"T040217030000",1.5,1.5,22
"T040217040000",1.5,1,22
"T040217050000",2,2,22
"T040217060000",1.5,1,22
"T040217070000",1,0.5,22
"T040217080000",1,0.5,24
"T040217090000",2.5,2,24
"T040217100000",3,3,24
"T040217110000",3.5,3.5,24
"T040217120000",4,4,24
"T040217130000",7,6.5,24
"T040217140000",7.5,7.5,24
"T040217150000",7.5,7,24
"T040217160000",7,7,24
"T040217170000",7.5,7.5,22
"T040217180000",7.5,7.5,22
"T040217190000",6.5,6,22
"T040217200000",7,6.5,22
"T040217210000",7,7,22
"T040217220000",7,7,22
"T040217230000",6.5,6,22
"T050217000000",5.5,5,22
"T050217010000",4,4,22
"T050217020000",2.5,2.5,22
"T050217030000",1,0.5,22
"T050217040000",0,-0.5,22
"T050217050000",-0.5,-1,22
"T050217060000",0,0,22
"T050217070000",0.5,0.5,22
"T050217080000",1.5,1,24
"T050217090000",2.5,2.5,24
"T050217100000",3,2.5,24
"T050217110000",4,4,24
"T050217120000",5.5,5.5,24
"T050217130000",5,5,24
"T050217140000",5,4.5,24
"T050217150000",3.5,3,24
"T050217160000",3,2.5,24
"T050217170000",2.5,2,22
"T050217180000",2,2,22
"T050217190000",1.5,1.5,22
"T050217200000",1,1,22
"T050217210000",0.5,0,22
"T050217220000",0,0,22
"T050217230000",0.5,0.5,22
"T060217000000",0.5,0.5,22
"T060217010000",0.5,0.5,22
"T060217020000",1,0.5,22
"T060217030000",1,1,22
"T060217040000",1,1,22
"T060217050000",1,1,22
"T060217060000",1,1,22
"T060217070000",1,0.5,22
"T060217080000",1,0.5,24
"T060217090000",1.5,1.5,24
"T060217100000",2.5,2,24
"T060217110000",5.5,5,24
"T060217120000",5,4.5,24
"T060217130000",6,5.5,24
"T060217140000",5.5,5,24
"T060217150000",6,6,24
"T060217160000",5.5,5.5,24
"T060217170000",4,3.5,22
"T060217180000",2.5,2,22
"T060217190000",3,2.5,22
"T060217200000",3,2.5,22
"T060217210000",3,2.5,22
"T060217220000",2.5,2.5,22
"T060217230000",2.5,2.5,22
"T070217000000",3,2.5,22
